$gaspirun -N /scratch/fuchs/aglippert/zhuz/gaspi/gaspi-benchmark/programs/gaspi-benchmark/build/gaspi-benchmark
#------------------------------------------------------------
# GASPI Benchmark Suite by Florian Beenen
# Date:  2022-09-07 12:59:43
# Maximum repetitions: 1024
# Minimum repetitions: 10
# Block Aggregation: 1
# Warmup runs: 10%
# Repetition reduction threshold: 65536 bytes
# Start transfer size: 1 bytes
# Last transfer size: 4194304 bytes
# Transfer size increase factor: 2
# Average results over all nodes: false
# Grid Benchmark - Grid start size: 16
# Grid Benchmark - Grid last size: 2048
# Grid Benchmark - Grid size increase factor: 2
# Grid Benchmark - Iterations on one grid: 128
# Grid Benchmark - Repetition reduce threshold after grid size: 512
# Grid Benchmark - Minimum repetitions: 10
# Grid Benchmark - Maximum repetitions: 128
# Grid Benchmark - Processing Threads: 1
# Number of processes: 4
#------------------------------------------------------------

# List of Benchmarks to run:
# gbs_ubench_ping_pong
# gbs_ubench_put_single_udir
# gbs_ubench_put_single_bdir
# gbs_ubench_put_all_udir
# gbs_ubench_put_all_bdir
# gbs_ubench_put_solo_single_udir
# gbs_ubench_put_aggregate_single_udir
# gbs_ubench_get_single_udir
# gbs_ubench_get_single_bdir
# gbs_ubench_get_all_udir
# gbs_ubench_get_all_bdir
# gbs_ubench_barrier
# gbs_ubench_twosided_ping_pong
# gbs_ubench_allreduce_min
# gbs_ubench_allreduce_max
# gbs_ubench_allreduce_sum
# gbs_ubench_atomic_fetch_add_single
# gbs_ubench_atomic_fetch_add_all
# gbs_ubench_atomic_compare_swap_single
# gbs_ubench_atomic_compare_swap_all
# gbs_ubench_noti_single_udir
# gbs_ubench_noti_single_bdir
# gbs_ubench_noti_all_udir
# gbs_ubench_noti_all_bdir
# gbs_ubench_put_true_exchange
# gbs_ubench_get_true_exchange
# gbs_abench_grid_stencil

#------------------------------------------------------------
# Benchmarking gbs_ubench_ping_pong
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            7.91           20.36          8.22           0.24
    2         1024            7.91           19.89          8.18           0.49
    4         1024            7.91           17.07          8.10           0.99
    8         1024            7.91           14.70          8.08           1.98
    16        1024            7.93           17.47          8.09           3.96
    32        1024            7.93           19.98          8.11           7.89
    64        1024            8.02           20.52          8.30           15.43
    128       1024            8.14           13.46          8.31           30.82
    256       1024            8.26           449.62         9.89           51.79
    512       1024            8.64           19.97          8.86           115.63
    1024      1024            9.13           21.13          9.39           218.15
    2048      1024            10.04          22.45          10.21          401.27
    4096      1024            11.83          670.06         13.54          604.99
    8192      1024            13.11          23.56          13.51          1212.59
    16384     1024            15.69          24.61          16.20          2022.60
    32768     1024            20.77          33.18          21.55          3041.68
    65536     512             31.26          563.23         34.21          3831.65
    131072    256             52.12          62.39          52.87          4958.72
    262144    128             93.45          106.24         96.70          5422.08
    524288    64              176.02         2590.21        260.33         4027.87
    1048576   32              344.14         2942.36        460.52         4553.89
    2097152   16              679.88         697.82         683.76         6134.22
    4194304   10              1360.45        1402.48        1372.62        6111.39

#------------------------------------------------------------
# Benchmarking gbs_ubench_put_single_udir
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            5.06           17.45          5.27           0.19
    2         1024            5.00           14.65          5.13           0.39
    4         1024            4.99           15.68          5.15           0.78
    8         1024            4.94           39.20          5.25           1.52
    16        1024            4.92           12.48          5.06           3.16
    32        1024            4.93           10.09          5.07           6.32
    64        1024            4.96           410.24         6.37           10.04
    128       1024            5.00           50.50          5.28           24.24
    256       1024            5.09           14.24          5.18           49.38
    512       1024            5.20           547.51         7.81           65.53
    1024      1024            5.44           148.56         6.04           169.49
    2048      1024            5.90           14.65          6.00           341.09
    4096      1024            6.82           14.79          6.94           590.22
    8192      1024            7.46           68.08          8.03           1020.42
    16384     1024            8.79           11.34          9.07           1806.19
    32768     1024            11.30          23.73          11.79          2778.20
    65536     512             16.64          20.50          17.02          3851.54
    131072    256             26.75          30.61          27.43          4778.51
    262144    128             47.58          60.83          48.34          5422.92
    524288    64              89.06          98.41          89.86          5834.69
    1048576   32              172.04         173.90         172.97         6062.12
    2097152   16              337.99         347.73         339.36         6179.75
    4194304   10              666.97         669.53         668.21         6276.92

#------------------------------------------------------------
# Benchmarking gbs_ubench_put_single_bdir
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            5.09           17.89          6.95           0.14
    2         1024            5.07           17.67          7.01           0.29
    4         1024            5.94           16.69          7.12           0.56
    8         1024            5.03           14.43          6.93           1.15
    16        1024            5.07           17.74          7.08           2.26
    32        1024            5.01           18.06          6.93           4.62
    64        1024            5.00           19.39          7.03           9.10
    128       1024            5.06           15.95          6.98           18.35
    256       1024            5.11           11.12          6.85           37.39
    512       1024            5.34           14.06          7.12           71.96
    1024      1024            5.52           17.45          7.39           138.64
    2048      1024            6.12           14.73          7.94           257.89
    4096      1024            6.94           15.02          8.83           464.06
    8192      1024            8.55           13.87          9.37           874.71
    16384     1024            9.48           15.53          11.04          1483.53
    32768     1024            12.29          18.18          14.07          2329.09
    65536     512             18.74          27.81          20.11          3258.32
    131072    256             30.67          36.41          32.05          4089.36
    262144    128             53.36          60.13          56.21          4663.56
    524288    64              104.78         106.75         105.67         4961.79
    1048576   32              208.47         211.52         210.05         4992.07
    2097152   16              420.94         432.65         424.78         4937.02
    4194304   10              885.85         899.60         892.02         4702.03

#------------------------------------------------------------
# Benchmarking gbs_ubench_put_all_udir
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            5.01           14.77          5.27           0.57
    2         1024            4.96           17.00          5.16           1.16
    4         1024            4.97           16.39          5.11           2.35
    8         1024            4.93           17.05          5.11           4.70
    16        1024            4.92           10.12          5.09           9.44
    32        1024            4.95           22.76          5.18           18.54
    64        1024            4.96           16.08          5.11           37.56
    128       1024            5.04           11.94          5.15           74.59
    256       1024            5.12           17.34          5.27           145.84
    512       1024            5.23           11.56          5.34           287.54
    1024      1024            5.48           16.53          5.64           544.22
    2048      1024            5.94           19.38          6.08           1010.39
    4096      1024            7.11           10.07          7.36           1669.10
    8192      1024            9.03           12.95          9.24           2658.55
    16384     1024            12.78          35.59          13.09          3755.76
    32768     1024            20.31          48.48          21.20          4637.98
    65536     512             35.28          200.16         36.33          5412.08
    131072    256             65.34          888.46         69.83          5631.40
    262144    128             125.66         1258.55        136.21         5773.64
    524288    64              246.09         455.86         250.48         6279.47
    1048576   32              487.05         490.12         488.44         6440.32
    2097152   16              968.93         974.62         970.54         6482.40
    4194304   10              1932.82        1934.92        1934.19        6505.52

#------------------------------------------------------------
# Benchmarking gbs_ubench_put_all_bdir
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            5.61           244.78         8.21           0.37
    2         1024            5.47           19.23          7.25           0.83
    4         1024            5.51           20.83          7.08           1.69
    8         1024            5.50           19.55          7.21           3.33
    16        1024            5.44           321.08         9.10           5.28
    32        1024            5.43           283.66         8.64           11.11
    64        1024            5.69           17.48          7.72           24.89
    128       1024            5.62           14.82          7.72           49.74
    256       1024            5.75           12.46          7.84           97.92
    512       1024            5.87           12.43          7.92           194.04
    1024      1024            6.05           18.79          8.19           375.03
    2048      1024            6.65           14.39          8.46           726.38
    4096      1024            8.20           21.86          10.14          1211.56
    8192      1024            10.34          22.24          11.95          2056.35
    16384     1024            14.52          194.62         16.94          2901.47
    32768     1024            23.85          487.85         28.66          3429.93
    65536     512             40.71          406.73         47.42          4145.77
    131072    256             81.08          1160.89        91.85          4280.91
    262144    128             155.54         3189.58        182.12         4318.24
    524288    64              306.97         313.19         310.73         5061.82
    1048576   32              629.32         644.58         634.60         4957.04
    2097152   16              1274.42        1342.96        1296.00        4854.51
    4194304   10              2691.30        3437.47        2896.53        4344.13

#------------------------------------------------------------
# Benchmarking gbs_ubench_put_solo_single_udir
#------------------------------------------------------------
    #bytes    #repetitions    t_min[usec]    t_max[usec]    t_avg[usec]    Mbytes/sec
    1         1024            2.92           9.40           3.66           0.27
    2         1024            2.90           122.23         4.73           0.42
    4         1024            2.81           86.01          3.87           1.03
    8         1024            2.79           16.35          3.66           2.19
    16        1024            2.79           8.52           3.61           4.43
    32        1024            2.84           47.26          4.31           7.42
    64        1024            2.84           223.37         4.44           14.42
    128       1024            2.94           14.79          3.69           34.72
    256       1024            3.45           86.48          4.86           52.62
    512       1024            3.64           15.23          4.03           126.90
    1024      1024            3.85           9.83           4.14           247.40
    2048      1024            4.28           149.22         5.31           385.61
    4096      1024            5.23           10.93          5.35           765.82
    8192      1024            5.90           106.67         10.40          787.99
    16384     1024            7.18           138.92         12.74          1285.68
    32768     1024            9.70           111.38         14.89          2201.12
    65536     512             15.03          91.93          16.31          4017.15
    131072    256             25.21          92.36          26.75          4899.45
    262144    128             46.18          82.56          47.77          5487.91
